epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,180.424,1.41824,1.15591,1.79754,0.14991,0.92806,0.91982,0.95771,0.72029,0.87775,0.62932,1.29051,0.01871,0.00999143,0.00333048,0.00999143,0.00333048,0.00999143,0.00333048,0.00999143,0.00333048
2,328.578,1.15926,0.6926,1.32102,0.09544,0.9452,0.9306,0.96843,0.75104,0.79326,0.55948,1.20235,0.01965,0.0199865,0.00666218,0.0199865,0.00666218,0.0199865,0.00666218,0.0199865,0.00666218
3,467.57,1.13444,0.6787,1.29258,0.09391,0.94658,0.91786,0.9675,0.73887,0.82582,0.58404,1.16212,0.02589,0.0299621,0.00998738,0.0299621,0.00998738,0.0299621,0.00998738,0.0299621,0.00998738
4,606.317,1.13442,0.68907,1.27493,0.09064,0.94148,0.92549,0.97219,0.74665,0.83272,0.57743,1.14838,0.02106,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,743.19,1.10851,0.66655,1.26291,0.08775,0.95026,0.92787,0.97176,0.74617,0.81321,0.56516,1.13853,0.02238,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,880.82,1.08728,0.64468,1.25663,0.08491,0.94889,0.94165,0.97544,0.75826,0.81088,0.52533,1.13045,0.02185,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1018.62,1.0805,0.63403,1.24349,0.0873,0.9538,0.94091,0.97657,0.75684,0.77692,0.53387,1.10666,0.01841,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1156.36,1.06173,0.62587,1.22753,0.08181,0.95223,0.93828,0.9752,0.7702,0.72351,0.49606,1.08125,0.01646,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1295.16,1.05241,0.61807,1.22567,0.0801,0.96086,0.9393,0.97624,0.77787,0.71,0.4847,1.07642,0.01322,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1432.23,1.05014,0.61458,1.22708,0.07984,0.95707,0.93818,0.97666,0.77413,0.72906,0.48997,1.07286,0.01756,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,1569.62,1.03356,0.60159,1.21081,0.07825,0.95915,0.93583,0.97504,0.77211,0.7322,0.48627,1.09653,0.01473,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,1706.98,1.02739,0.59668,1.20487,0.07719,0.96245,0.94688,0.98,0.78983,0.68997,0.4591,1.05765,0.01457,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,1845.72,1.02439,0.59608,1.21004,0.07921,0.95704,0.94114,0.97667,0.77968,0.70837,0.4738,1.06334,0.01583,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1985.47,1.02262,0.59594,1.20475,0.07579,0.96142,0.94539,0.97977,0.78298,0.70148,0.4625,1.05573,0.01727,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,2127.26,1.01313,0.58334,1.20723,0.07697,0.96408,0.94677,0.97987,0.78857,0.69444,0.45894,1.0455,0.01476,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
